"","Week","Year","IT_movies"
"829",49,2019,0
"830",50,2019,0
"831",51,2019,0
"832",52,2019,0
"833",1,2020,0
"834",2,2020,0
"835",3,2020,0
"836",4,2020,0
"837",5,2020,0
"838",6,2020,0
"839",7,2020,0
"840",8,2020,0
"841",9,2020,0
"842",10,2020,0
"843",11,2020,0
"844",12,2020,0
"845",13,2020,0
"846",14,2020,0
"847",15,2020,0
"848",16,2020,0
"849",17,2020,0
"850",18,2020,0
"851",19,2020,0
"852",20,2020,0
"853",21,2020,0
"854",22,2020,0
"855",23,2020,0
"856",24,2020,0
"857",25,2020,0
"858",26,2020,0
"859",27,2020,0
"860",28,2020,0
"861",29,2020,0
"862",30,2020,0
"863",31,2020,0
"864",32,2020,0
"865",33,2020,0
"866",34,2020,0
"867",35,2020,0
"868",36,2020,0
"869",37,2020,0
"870",38,2020,0
"871",39,2020,0
"872",40,2020,0
"873",41,2020,0
"874",42,2020,0
"875",43,2020,0
"876",44,2020,0
"877",45,2020,0
"878",46,2020,0
"879",47,2020,0
"880",48,2020,0
"881",49,2020,0
"882",50,2020,0
"883",51,2020,0
"884",52,2020,0
"885",1,2021,0
"886",2,2021,0
"887",3,2021,0
"888",4,2021,0
"889",5,2021,0
"890",6,2021,0
"891",7,2021,0
"892",8,2021,0
"893",9,2021,0
"894",10,2021,0
"895",11,2021,0
"896",12,2021,0
"897",13,2021,0
"898",14,2021,0
"899",15,2021,0
"900",16,2021,0
"901",17,2021,0
"902",18,2021,0
"903",19,2021,0
"904",20,2021,0
"905",21,2021,0
"906",22,2021,0
"907",23,2021,0
"908",24,2021,0
"909",25,2021,0
"910",26,2021,0
"911",27,2021,0
"912",28,2021,0
"913",29,2021,0
"914",30,2021,0
"915",31,2021,0
"916",32,2021,0
"917",33,2021,0
"918",34,2021,0
"919",35,2021,0
"920",36,2021,0
"921",37,2021,0
"922",38,2021,0
"923",39,2021,0
"924",40,2021,0
"925",41,2021,0
"926",42,2021,0
"927",43,2021,0
"928",44,2021,0
"929",45,2021,0
"930",46,2021,0
"931",47,2021,0
"932",48,2021,0
"933",49,2021,0
"934",50,2021,0
"935",51,2021,0
"936",52,2021,0
"937",1,2022,0
"938",2,2022,0
"939",3,2022,0
"940",4,2022,0
"941",5,2022,0
"942",6,2022,0
"943",7,2022,0
"944",8,2022,0
"945",9,2022,0
"946",10,2022,0
"947",11,2022,0
"948",12,2022,0
"949",13,2022,0
"950",14,2022,0
"951",15,2022,0
"952",16,2022,0
"953",17,2022,0
"954",18,2022,0
"955",19,2022,0
"956",20,2022,0
"957",21,2022,0
"958",22,2022,0
"959",23,2022,0
"960",24,2022,0
"961",25,2022,0
"962",26,2022,0
"963",27,2022,0
"964",28,2022,0
"965",29,2022,0
"966",30,2022,0
"967",31,2022,0
"968",32,2022,0
"969",33,2022,0
"970",34,2022,0
"971",35,2022,0
"972",36,2022,0
"973",37,2022,0
"974",38,2022,0
"975",39,2022,0
"976",40,2022,0
"977",41,2022,0
"978",42,2022,0
"979",43,2022,0
"980",44,2022,0
"981",45,2022,0
"982",46,2022,0
"983",47,2022,0
"984",48,2022,0
"985",49,2022,0
"986",50,2022,0
"987",51,2022,0
"988",52,2022,0
