"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"87","$77,824,346","-16.3%","$97,627,303","-14.5%",130,"The 40-Year-Old Virgin","-","-","-",34,"false",2005
"88","$92,953,567","-7.3%","$114,186,392","-5%",120,"The 40-Year-Old Virgin","-","-","-",33,"false",2005
"89","$100,228,294","+1.8%","$120,238,779","+4.3%",121,"Four Brothers","-","-","-",32,"false",2005
"90","$98,480,327","-6.8%","$115,303,520","-6.8%",132,"The Dukes of Hazzard","-","-","-",31,"false",2005
"91","$105,645,982","-14.8%","$123,665,915","-12%",128,"Wedding Crashers","-","-","-",30,"false",2005
"92","$124,012,308","-17.7%","$140,548,188","-13.7%",126,"Charlie and the Chocolate Factory","-","-","-",29,"false",2005
"93","$150,770,053","+11.2%","$162,848,874","+9.3%",126,"Charlie and the Chocolate Factory","-","-","-",28,"false",2005
"94","$135,633,138","+4.6%","$148,968,033","+4.8%",124,"Fantastic Four","-","-","-",27,"false",2005
"95","$155,959,727","-24.6%","$171,680,305","-23.1%",132,"War of the Worlds","-","-","-",26,"true",2005
"96","$129,652,252","+14.3%","$142,200,806","+11.7%",122,"War of the Worlds","-","-","-",26,"false",2005
"97","$113,398,236","-10.7%","$127,341,429","-6.2%",134,"Batman Begins","-","-","-",25,"false",2005
"98","$127,046,966","-5.4%","$135,814,014","-5.7%",136,"Batman Begins","-","-","-",24,"false",2005
"99","$134,230,550","+7.5%","$144,009,425","+10.3%",134,"Mr. & Mrs. Smith","-","-","-",23,"false",2005
"100","$124,821,684","-29.1%","$130,535,390","-28.3%",125,"Madagascar","-","-","-",22,"false",2005
"101","$176,095,556","+13.2%","$182,045,804","+11.9%",112,"Star Wars: Episode III - Revenge of the Sith","-","-","-",21,"false",2005
"102","$223,962,788","-5.4%","$232,101,105","-6.5%",127,"Star Wars: Episode III - Revenge of the Sith","-","-","-",21,"true",2005
"103","$155,603,666","+69.6%","$162,693,603","+57.9%",131,"Star Wars: Episode III - Revenge of the Sith","-","-","-",20,"false",2005
"104","$91,747,480","+20.5%","$103,032,623","+21.2%",137,"Monster-in-Law","-","-","-",19,"false",2005
"105","$76,115,341","-2.5%","$84,990,131","-6.7%",137,"Kingdom of Heaven","-","-","-",18,"false",2005
"106","$78,058,370","-1%","$91,116,822","-2.8%",141,"The Hitchhiker's Guide to the Galaxy","-","-","-",17,"false",2005
"107","$78,875,513","+10.6%","$93,782,768","+13.1%",138,"The Interpreter","-","-","-",16,"false",2005
"108","$71,312,645","-5.9%","$82,924,921","-4.8%",133,"The Amityville Horror","-","-","-",15,"false",2005
"109","$75,815,725","-18.3%","$87,116,421","-16.9%",127,"Sahara","-","-","-",14,"false",2005
"110","$92,823,733","+6.8%","$104,890,040","+5.7%",132,"Sin City","-","-","-",13,"false",2005
"111","$86,905,815","-15.1%","$99,273,020","-14.6%",132,"Guess Who","-","-","-",12,"false",2005
"112","$100,063,419","-0.3%","$110,230,023","-14.1%",37,"Guess Who","-","-","-",12,"true",2005
"113","$102,331,011","+2.1%","$116,190,560","+0.9%",126,"The Ring Two","-","-","-",11,"false",2005
"114","$100,272,952","-4.3%","$115,208,693","-6.5%",132,"Robots","-","-","-",10,"false",2005
"115","$104,740,602","+5.9%","$123,219,318","+0.6%",119,"The Pacifier","-","-","-",9,"false",2005
"116","$98,868,991","-9.8%","$122,480,464","-7.9%",115,"Diary of a Mad Black Woman","-","-","-",8,"false",2005
"117","$129,703,618","+12.5%","$157,855,767","+8.4%",122,"Hitch","-","-","-",7,"true",2005
"118","$109,619,134","+11.5%","$132,944,255","+10.6%",106,"Hitch","-","-","-",7,"false",2005
"119","$98,317,419","+20.2%","$120,184,921","+18.1%",120,"Hitch","-","-","-",6,"false",2005
"120","$81,760,868","-16.1%","$101,779,376","-17.8%",118,"Boogeyman","-","-","-",5,"false",2005
"121","$97,441,087","+23.5%","$123,757,135","+25.7%",111,"Hide and Seek","-","-","-",4,"false",2005
"122","$78,920,270","-29.6%","$98,473,742","-28.7%",110,"Are We There Yet?","-","-","-",3,"false",2005
"123","$112,075,179","+20%","$138,088,011","+16%",84,"Coach Carter","-","-","-",2,"false",2005
"124","$135,910,983","+26.8%","$168,489,287","+21.5%",92,"Coach Carter","-","-","-",2,"true",2005
"125","$93,376,849","-18.8%","$118,992,431","-18.7%",108,"Meet the Fockers","-","-","-",1,"false",2005
"126","$175,161,532","+9.6%","$213,090,855","+9.9%",102,"Night at the Museum","-","-","-",52,"true",2006
"127","$134,142,131","+30.7%","$162,206,028","+36%",97,"Night at the Museum","-","-","-",52,"false",2006
"128","$145,773,272","-2.6%","$179,396,906","+1.7%",92,"Night at the Museum","-","-","-",51,"true",2006
"129","$102,661,049","-3.2%","$119,287,485","-1.3%",83,"Night at the Museum","-","-","-",51,"false",2006
"130","$106,010,696","+28.2%","$120,864,633","+25%",112,"The Pursuit of Happyness","-","-","-",50,"false",2006
"131","$82,696,524","+7.1%","$96,707,986","+3.5%",128,"Apocalypto","-","-","-",49,"false",2006
"132","$77,200,141","+4.9%","$93,457,221","+7.5%",126,"Happy Feet","-","-","-",48,"true",2006
"133","$140,743,238","-1.6%","$161,954,607","-2.2%",118,"Happy Feet","-","-","-",47,"true",2006
"134","$170,601,845","+1.1%","$193,007,195","+3.2%",50,"Happy Feet","-","-","-",47,"true",2006
"135","$197,266,639","-1.8%","$223,388,878","+0.2%",50,"Happy Feet","-","-","-",47,"true",2006
"136","$129,362,388","+21.8%","$146,273,807","+14.9%",126,"Happy Feet","-","-","-",46,"false",2006
"137","$106,197,176","-2.5%","$127,286,971","-2.4%",127,"Borat","-","-","-",45,"false",2006
"138","$108,871,420","+30.6%","$130,461,836","+24.2%",135,"Borat","-","-","-",44,"false",2006
