"","Week","Year","IT_movies"
"430",14,2012,2
"431",15,2012,1
"432",16,2012,2
"433",17,2012,2
"434",18,2012,1
"435",19,2012,0
"436",20,2012,0
"437",21,2012,1
"438",22,2012,3
"439",23,2012,0
"440",24,2012,0
"441",25,2012,0
"442",26,2012,0
"443",27,2012,0
"444",28,2012,0
"445",29,2012,0
"446",30,2012,1
"447",31,2012,0
"448",32,2012,0
"449",33,2012,0
"450",34,2012,0
"451",35,2012,0
"452",36,2012,2
"453",37,2012,0
"454",38,2012,1
"455",39,2012,2
"456",40,2012,1
"457",41,2012,1
"458",42,2012,3
"459",43,2012,3
"460",44,2012,1
"461",45,2012,2
"462",46,2012,2
"463",47,2012,1
"464",48,2012,2
"465",49,2012,0
"466",50,2012,1
"467",51,2012,2
"468",52,2012,0
"469",1,2013,0
"470",2,2013,0
"471",3,2013,0
"472",4,2013,0
"473",5,2013,0
"474",6,2013,0
"475",7,2013,0
"476",8,2013,0
"477",9,2013,0
"478",10,2013,4
"479",11,2013,1
"480",12,2013,1
"481",13,2013,1
"482",14,2013,2
"483",15,2013,2
"484",16,2013,2
"485",17,2013,1
"486",18,2013,1
"487",19,2013,1
"488",20,2013,0
"489",21,2013,1
"490",22,2013,1
"491",23,2013,0
"492",24,2013,2
"493",25,2013,1
"494",26,2013,0
"495",27,2013,0
"496",28,2013,0
"497",29,2013,0
"498",30,2013,0
"499",31,2013,0
"500",32,2013,0
"501",33,2013,0
"502",34,2013,0
"503",35,2013,1
"504",36,2013,0
"505",37,2013,0
"506",38,2013,1
"507",39,2013,2
"508",40,2013,2
"509",41,2013,1
"510",42,2013,1
"511",43,2013,0
"512",44,2013,2
"513",45,2013,2
"514",46,2013,2
"515",47,2013,3
"516",48,2013,0
"517",49,2013,1
"518",50,2013,1
"519",51,2013,2
"520",52,2013,0
"521",1,2014,0
"522",2,2014,0
"523",3,2014,0
"524",4,2014,0
"525",5,2014,0
"526",6,2014,0
"527",7,2014,0
"528",8,2014,0
"529",9,2014,0
"530",10,2014,2
"531",11,2014,3
"532",12,2014,1
"533",13,2014,1
"534",14,2014,1
"535",15,2014,0
"536",16,2014,1
"537",17,2014,1
"538",18,2014,1
"539",19,2014,1
"540",20,2014,1
"541",21,2014,1
"542",22,2014,0
"543",23,2014,0
"544",24,2014,0
"545",25,2014,0
"546",26,2014,0
"547",27,2014,2
"548",28,2014,0
"549",29,2014,0
"550",30,2014,0
"551",31,2014,0
"552",32,2014,0
"553",33,2014,0
"554",34,2014,0
"555",35,2014,0
"556",36,2014,1
"557",37,2014,0
"558",38,2014,1
"559",39,2014,1
"560",40,2014,3
"561",41,2014,1
"562",42,2014,1
"563",43,2014,2
"564",44,2014,1
"565",45,2014,1
"566",46,2014,0
"567",47,2014,0
"568",48,2014,0
"569",49,2014,0
"570",50,2014,0
"571",51,2014,0
"572",52,2014,0
"573",1,2015,0
"574",2,2015,0
"575",3,2015,0
"576",4,2015,0
"577",5,2015,0
"578",6,2015,0
"579",7,2015,0
"580",8,2015,0
"581",9,2015,0
"582",10,2015,0
"583",11,2015,0
"584",12,2015,0
"585",13,2015,0
"586",14,2015,0
"587",15,2015,0
"588",16,2015,0
"589",17,2015,0
"590",18,2015,0
"591",19,2015,0
"592",20,2015,0
"593",21,2015,0
"594",22,2015,0
"595",23,2015,0
"596",24,2015,0
"597",25,2015,0
"598",26,2015,0
"599",27,2015,0
"600",28,2015,0
"601",29,2015,0
"602",30,2015,0
"603",31,2015,0
"604",32,2015,0
"605",33,2015,0
"606",34,2015,0
"607",35,2015,0
"608",36,2015,0
"609",37,2015,3
"610",38,2015,1
"611",39,2015,0
"612",40,2015,0
"613",41,2015,0
"614",42,2015,0
"615",43,2015,0
"616",44,2015,0
"617",45,2015,0
"618",46,2015,0
"619",47,2015,0
"620",48,2015,0
"621",49,2015,1
"622",50,2015,1
"623",51,2015,2
"624",52,2015,2
"625",1,2016,0
"626",2,2016,0
"627",3,2016,0
"628",4,2016,0
"629",5,2016,0
"630",6,2016,0
"631",7,2016,0
"632",8,2016,0
"633",9,2016,0
"634",10,2016,2
"635",11,2016,2
"636",12,2016,3
"637",13,2016,1
"638",14,2016,3
"639",15,2016,2
"640",16,2016,1
"641",17,2016,3
"642",18,2016,2
"643",19,2016,2
"644",20,2016,1
"645",21,2016,2
"646",22,2016,1
"647",23,2016,1
"648",24,2016,2
"649",25,2016,1
"650",26,2016,1
"651",27,2016,0
"652",28,2016,1
"653",29,2016,0
"654",30,2016,0
"655",31,2016,0
"656",32,2016,0
"657",33,2016,0
"658",34,2016,1
"659",35,2016,0
"660",36,2016,0
"661",37,2016,2
"662",38,2016,1
"663",39,2016,1
"664",40,2016,0
"665",41,2016,2
"666",42,2016,1
"667",43,2016,1
"668",44,2016,2
"669",45,2016,2
"670",46,2016,1
"671",47,2016,3
"672",48,2016,2
"673",49,2016,4
"674",50,2016,1
"675",51,2016,1
"676",52,2016,1
"677",1,2017,0
"678",2,2017,0
"679",3,2017,0
"680",4,2017,0
"681",5,2017,0
"682",6,2017,0
"683",7,2017,0
"684",8,2017,0
"685",9,2017,0
"686",10,2017,3
"687",11,2017,0
"688",12,2017,2
"689",13,2017,2
"690",14,2017,1
"691",15,2017,1
"692",16,2017,1
"693",17,2017,1
"694",18,2017,3
"695",19,2017,2
"696",20,2017,0
"697",21,2017,0
"698",22,2017,1
"699",23,2017,0
"700",24,2017,0
"701",25,2017,0
"702",26,2017,1
"703",27,2017,0
"704",28,2017,1
"705",29,2017,1
"706",30,2017,0
"707",31,2017,0
"708",32,2017,0
"709",33,2017,0
"710",34,2017,1
"711",35,2017,2
"712",36,2017,3
"713",37,2017,2
"714",38,2017,1
"715",39,2017,1
"716",40,2017,2
"717",41,2017,0
"718",42,2017,2
"719",43,2017,1
"720",44,2017,1
"721",45,2017,3
"722",46,2017,2
"723",47,2017,5
"724",48,2017,2
"725",49,2017,0
"726",50,2017,2
"727",51,2017,1
"728",52,2017,1
"729",1,2018,0
"730",2,2018,0
"731",3,2018,0
"732",4,2018,0
"733",5,2018,0
"734",6,2018,0
"735",7,2018,0
"736",8,2018,0
"737",9,2018,0
"738",10,2018,1
"739",11,2018,1
"740",12,2018,3
"741",13,2018,2
"742",14,2018,3
"743",15,2018,2
"744",16,2018,1
"745",17,2018,2
"746",18,2018,2
"747",19,2018,1
"748",20,2018,2
"749",21,2018,1
"750",22,2018,3
"751",23,2018,2
"752",24,2018,3
"753",25,2018,3
"754",26,2018,3
"755",27,2018,1
"756",28,2018,3
"757",29,2018,0
"758",30,2018,4
"759",31,2018,0
"760",32,2018,0
"761",33,2018,0
"762",34,2018,1
"763",35,2018,2
"764",36,2018,1
"765",37,2018,1
"766",38,2018,1
"767",39,2018,2
"768",40,2018,2
"769",41,2018,1
"770",42,2018,2
"771",43,2018,1
"772",44,2018,2
"773",45,2018,3
"774",46,2018,0
"775",47,2018,3
"776",48,2018,1
"777",49,2018,1
"778",50,2018,0
"779",51,2018,1
"780",52,2018,1
"781",1,2019,0
"782",2,2019,0
"783",3,2019,0
"784",4,2019,0
"785",5,2019,0
"786",6,2019,0
"787",7,2019,0
"788",8,2019,0
"789",9,2019,0
"790",10,2019,3
"791",11,2019,1
"792",12,2019,5
"793",13,2019,2
"794",14,2019,1
"795",15,2019,1
"796",16,2019,1
"797",17,2019,0
"798",18,2019,2
"799",19,2019,1
"800",20,2019,1
"801",21,2019,2
"802",22,2019,0
"803",23,2019,1
"804",24,2019,0
"805",25,2019,1
"806",26,2019,0
"807",27,2019,1
"808",28,2019,0
"809",29,2019,0
"810",30,2019,0
"811",31,2019,0
"812",32,2019,0
"813",33,2019,0
"814",34,2019,1
"815",35,2019,4
"816",36,2019,1
"817",37,2019,3
"818",38,2019,0
"819",39,2019,1
"820",40,2019,1
"821",41,2019,1
"822",42,2019,1
"823",43,2019,2
"824",44,2019,2
"825",45,2019,2
"826",46,2019,3
"827",47,2019,3
"828",48,2019,2
"829",49,2019,2
"830",50,2019,0
"831",51,2019,2
"832",52,2019,0
"833",1,2020,0
"834",2,2020,0
"835",3,2020,0
"836",4,2020,0
"837",5,2020,0
"838",6,2020,0
"839",7,2020,0
"840",8,2020,0
"841",9,2020,0
"842",10,2020,2
"843",11,2020,0
"844",12,2020,0
"845",13,2020,0
"846",14,2020,0
"847",15,2020,0
"848",16,2020,0
"849",17,2020,0
"850",18,2020,0
"851",19,2020,0
"852",20,2020,0
"853",21,2020,0
"854",22,2020,0
"855",23,2020,0
"856",24,2020,0
"857",25,2020,1
"858",26,2020,1
"859",27,2020,1
"860",28,2020,0
"861",29,2020,0
"862",30,2020,0
"863",31,2020,1
"864",32,2020,0
"865",33,2020,1
"866",34,2020,3
"867",35,2020,1
"868",36,2020,1
"869",37,2020,5
"870",38,2020,2
"871",39,2020,1
"872",40,2020,1
"873",41,2020,1
"874",42,2020,2
"875",43,2020,2
"876",44,2020,0
"877",45,2020,0
"878",46,2020,0
"879",47,2020,0
"880",48,2020,0
"881",49,2020,0
"882",50,2020,0
"883",51,2020,0
"884",52,2020,0
"885",1,2021,0
"886",2,2021,0
"887",3,2021,0
"888",4,2021,0
"889",5,2021,0
"890",6,2021,0
"891",7,2021,0
"892",8,2021,0
"893",9,2021,0
"894",10,2021,0
"895",11,2021,0
"896",12,2021,0
"897",13,2021,0
"898",14,2021,0
"899",15,2021,0
"900",16,2021,0
"901",17,2021,4
"902",18,2021,0
"903",19,2021,2
"904",20,2021,4
"905",21,2021,2
"906",22,2021,1
"907",23,2021,2
"908",24,2021,1
"909",25,2021,0
"910",26,2021,0
"911",27,2021,0
"912",28,2021,0
"913",29,2021,0
"914",30,2021,0
"915",31,2021,0
"916",32,2021,0
"917",33,2021,0
"918",34,2021,0
"919",35,2021,0
"920",36,2021,1
"921",37,2021,1
"922",38,2021,2
"923",39,2021,0
"924",40,2021,0
"925",41,2021,0
"926",42,2021,0
"927",43,2021,1
"928",44,2021,2
"929",45,2021,2
"930",46,2021,0
"931",47,2021,0
"932",48,2021,1
"933",49,2021,0
"934",50,2021,1
"935",51,2021,1
"936",52,2021,0
"937",1,2022,0
"938",2,2022,0
"939",3,2022,0
"940",4,2022,0
"941",5,2022,0
"942",6,2022,0
"943",7,2022,0
"944",8,2022,0
"945",9,2022,0
"946",10,2022,0
"947",11,2022,0
"948",12,2022,0
"949",13,2022,0
"950",14,2022,0
"951",15,2022,0
"952",16,2022,0
"953",17,2022,0
"954",18,2022,0
"955",19,2022,1
"956",20,2022,1
"957",21,2022,1
"958",22,2022,1
"959",23,2022,2
"960",24,2022,0
"961",25,2022,0
"962",26,2022,0
"963",27,2022,0
"964",28,2022,1
"965",29,2022,0
"966",30,2022,0
"967",31,2022,0
"968",32,2022,1
"969",33,2022,0
"970",34,2022,1
"971",35,2022,0
"972",36,2022,0
"973",37,2022,0
"974",38,2022,0
"975",39,2022,0
"976",40,2022,0
"977",41,2022,1
"978",42,2022,0
"979",43,2022,2
"980",44,2022,1
"981",45,2022,1
"982",46,2022,2
"983",47,2022,0
"984",48,2022,0
"985",49,2022,0
"986",50,2022,0
"987",51,2022,0
"988",52,2022,0
